gene,phenotype,gene_disgenet_class,NPMI,n_g,n_p,n_gp
METTL3,"['C0021655', 'Body fails to respond to insulin', 'HPO', 'HP:0000855']",NA,0.001656402111316253,468,7537,1.0
CD163,"['C0025202', 'Cancer of skin pigment cells', 'HPO', 'HP:0002861']",NA,0.0016675694521046589,970,7280,2.0
CAD,"['C0019270', 'Hernia', 'HPO', 'HP:0100790']",NA,0.001684568539752849,1302,2708,1.0
NOD2,"['C0024623', 'Gastric cancer', 'HPO', 'HP:0012126']",1.0,0.0016930771570455201,639,5517,1.0
NOX4,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.001699893017323006,513,151966,22.0
ACE2,"['C1408258', 'Kidney damage', 'HPO', 'HP:0000112']",S,0.0017007978419481865,9132,386,1.0
KIT,"['C0039082', 'Symptom Cluster', 'MSH', 'NULL']",NA,0.0017011333605663089,378,28028,3.0
PAX5,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0017021074480230744,93,151966,4.0
MFN2,"['C0027651', 'Neoplasia', 'HPO', 'HP:0002664']",NA,0.0017021074480230744,93,151966,4.0
CD4,"['C0005940', 'Bone Diseases', 'MSH', 'NULL']",S,0.0017043485320658409,11407,309,1.0
COL11A1,"['C0013604', 'Dropsy', 'HPO', 'HP:0000969']",S,0.0017057575888473186,492,7164,1.0
MPO,"['C0035204', 'Disorder of respiratory system', 'SNOMEDCT_US', 'NULL']",1.0,0.0017233827251477943,2819,1250,1.0
METTL14,"['C4761312', 'Acquired deficiency', 'SNOMEDCT_US', 'NULL']",NA,0.001727066182047854,207,17022,1.0
CRP,"['C4087124', 'IgG4 Related Systemic Disease', 'MSH', 'NULL']",1.0,0.0017295777846625768,6493,3266,6.0
TSC2,"['C0242606', 'Oxidative stress', 'HPO', 'HP:0025464']",NA,0.0017620128344322547,205,17179,1.0
FGF2,"['C0003864', 'Arthritis', 'MSH, OMIM, SNOMEDCT_US, HPO', 'HP:0001369']",NA,0.0017646265851308165,486,7246,1.0
CD33,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.0017649650639892313,186,18933,1.0
IFI16,"['C0007097', 'Carcinoma', 'HPO, PPTO', 'HP:0030731']",NA,0.0017649650639892313,186,18933,1.0
CXCL9,"['C0011849', 'Diabetes mellitus', 'OMIM, SNOMEDCT_US, HPO', 'HP:0000819']",NA,0.0017856155466527363,508,6930,1.0
